ID,CL,VC,KA
1,0.356336,9.39422,1.52638
2,0.43344099999999997,11.98,0.802983
3,0.682175,10.9108,0.85723799999999994
4,0.724799,12.330400000000001,1.4768800000000002
5,0.48041599999999995,9.537370000000001,0.8701300000000001
6,0.484477,12.9131,1.1477700000000002
7,0.708761,14.145800000000001,0.4923
8,0.28471399999999997,7.867660000000001,0.9250039999999999
9,0.75721,13.7569,0.7663909999999999
10,0.6460859999999999,10.2908,1.45002
11,0.412018,9.560590000000001,0.7569359999999999
12,0.7834939999999999,11.4841,1.13081
13,0.630296,17.2926,0.7115600000000001
14,0.371869,8.98921,1.02932
15,0.3735,10.850200000000001,1.38576
16,0.428019,10.560500000000001,1.52716
17,0.321249,18.6358,0.756841
18,0.573983,15.5456,1.70496
