file,seed,thin,n_sim,where_x_pred_declared,eta_sim,elpd_logo,time
1,1,1,50,inside,same,-978.7345876235368,28.451297998428345
1,1,10,50,inside,same,-931.394615970864,3.116323947906494
1,1,40,50,inside,same,-894.0228936396792,0.9825708866119385
1,1,1,100,inside,same,-886.4525663241031,55.877447843551636
1,1,10,100,inside,same,-859.1356060366138,5.890075922012329
1,1,40,100,inside,same,-851.2041266490224,1.682926893234253
1,1,1,300,inside,same,-827.5521847029615,165.47881293296814
1,1,10,300,inside,same,-824.4587566485958,16.73257303237915
1,1,40,300,inside,same,-822.631685597466,4.389203071594238
1,2,1,50,inside,same,-993.1536030161029,28.37731099128723
1,2,10,50,inside,same,-925.9988673413673,3.126641035079956
1,2,40,50,inside,same,-910.0438601173873,1.081200122833252
1,2,1,100,inside,same,-876.3115096763479,55.68228197097778
1,2,10,100,inside,same,-856.1940381525031,5.847819805145264
1,2,40,100,inside,same,-850.8233062639745,1.7109289169311523
1,2,1,300,inside,same,-826.3920733952293,166.21891379356384
1,2,10,300,inside,same,-824.4804098335285,16.781076908111572
1,2,40,300,inside,same,-822.3035606820368,4.471666097640991
1,3,1,50,inside,same,-978.2156418765128,28.608129024505615
1,3,10,50,inside,same,-927.3772135676616,3.1259589195251465
1,3,40,50,inside,same,-891.0832058816732,1.0615730285644531
1,3,1,100,inside,same,-879.8022133104921,55.59180808067322
1,3,10,100,inside,same,-863.6878870415187,5.862896203994751
1,3,40,100,inside,same,-847.6691273540171,1.6898539066314697
1,3,1,300,inside,same,-827.5127463123146,183.04411387443542
1,3,10,300,inside,same,-825.4159096337208,16.75898313522339
1,3,40,300,inside,same,-823.5541699667708,4.458608150482178
1,4,1,50,inside,same,-984.2876041278205,28.283241987228394
1,4,10,50,inside,same,-919.7576189655289,3.1343679428100586
1,4,40,50,inside,same,-893.7173698647198,0.996229887008667
1,4,1,100,inside,same,-875.621200666649,55.849881172180176
1,4,10,100,inside,same,-855.7913451605576,5.804864883422852
1,4,40,100,inside,same,-847.2286497952648,1.7177321910858154
1,4,1,300,inside,same,-827.1952238279471,165.34823608398438
1,4,10,300,inside,same,-825.233799298948,16.694957971572876
1,4,40,300,inside,same,-823.3922361165936,4.457072973251343
1,5,1,50,inside,same,-978.3873250088145,28.28302502632141
1,5,10,50,inside,same,-942.50913807960535,3.1830408573150635
1,5,40,50,inside,same,-891.4533573172613,1.0012590885162354
1,5,1,100,inside,same,-884.1554223022229,55.609729051589966
1,5,10,100,inside,same,-861.2528382638764,5.9027931690216064
1,5,40,100,inside,same,-853.7129335748222,1.8080148696899414
1,5,1,300,inside,same,-828.4966178465886,164.91311812400818
1,5,10,300,inside,same,-823.0091870411205,16.848805904388428
1,5,40,300,inside,same,-824.4156604442808,4.381480932235718
2,1,1,50,inside,different,-990.6037530793258,29.165019989013672
2,1,10,50,inside,different,-926.131705998351,3.293032169342041
2,1,40,50,inside,different,-898.9920822400686,1.1083431243896484
2,1,1,100,inside,different,-882.6754039085881,56.996960163116455
2,1,10,100,inside,different,-859.8771379507984,6.047651052474976
2,1,40,100,inside,different,-846.9782251629057,1.7998459339141846
2,1,1,300,inside,different,-825.7435534402648,167.9684898853302
2,1,10,300,inside,different,-826.9900480993196,17.06596612930298
2,1,40,300,inside,different,-822.5681210019642,4.489461898803711
2,2,1,50,inside,different,-979.4221228469842,28.917988061904907
2,2,10,50,inside,different,-924.0903845503401,3.245136022567749
2,2,40,50,inside,different,-899.6384102944985,1.0328760147094727
2,2,1,100,inside,different,-879.0214312357141,56.82572102546692
2,2,10,100,inside,different,-863.4698130414217,6.009948968887329
2,2,40,100,inside,different,-855.3461508455634,1.7520549297332764
2,2,1,300,inside,different,-828.1658022953441,171.4874930381775
2,2,10,300,inside,different,-823.2140695139004,17.003353118896484
2,2,40,300,inside,different,-822.2377063517223,4.505867004394531
2,3,1,50,inside,different,-995.5949762608598,29.031514167785645
2,3,10,50,inside,different,-926.5996696091701,3.196755886077881
2,3,40,50,inside,different,-908.5363989250396,1.0362768173217773
2,3,1,100,inside,different,-882.920887513932,56.703721046447754
2,3,10,100,inside,different,-863.4566280695154,5.956727027893066
2,3,40,100,inside,different,-848.6927070049514,1.7682020664215088
2,3,1,300,inside,different,-826.339632271754,317.23787093162537
2,3,10,300,inside,different,-823.7157364301736,17.236242055892944
2,3,40,300,inside,different,-821.5445741834827,4.5411598682403564
2,4,1,50,inside,different,-987.4279596627647,29.32884192466736
2,4,10,50,inside,different,-925.233608583864,3.335179090499878
2,4,40,50,inside,different,-890.960875891928,1.1026229858398438
2,4,1,100,inside,different,-883.8504637682312,57.11139392852783
2,4,10,100,inside,different,-862.2489388299325,5.949100017547607
2,4,40,100,inside,different,-849.4253768296187,1.8081130981445312
2,4,1,300,inside,different,-827.3958715466835,169.5702440738678
2,4,10,300,inside,different,-823.889997154554,17.18275499343872
2,4,40,300,inside,different,-824.0172141724538,4.482994079589844
2,5,1,50,inside,different,-979.2629408789996,29.14197587966919
2,5,10,50,inside,different,-930.5256088427151,3.2736639976501465
2,5,40,50,inside,different,-903.1914600112792,1.0107650756835938
2,5,1,100,inside,different,-886.4487707019111,57.04263997077942
2,5,10,100,inside,different,-860.0158798656526,6.038235187530518
2,5,40,100,inside,different,-850.9851655262075,1.7202160358428955
2,5,1,300,inside,different,-828.1951134436854,169.46678400039673
2,5,10,300,inside,different,-824.4309694167001,17.199811220169067
2,5,40,300,inside,different,-820.9224397859283,4.483486890792847
3,1,1,50,outside,same,-978.7345876235368,28.50612211227417
3,1,10,50,outside,same,-931.394615970864,3.225893974304199
3,1,40,50,outside,same,-894.0228936396792,1.1074411869049072
3,1,1,100,outside,same,-886.4525663241031,55.78805112838745
3,1,10,100,outside,same,-859.1356060366138,5.890208959579468
3,1,40,100,outside,same,-851.2041266490224,1.7795169353485107
3,1,1,300,outside,same,-827.5521847029615,165.90008687973022
3,1,10,300,outside,same,-824.4587566485958,16.888386964797974
3,1,40,300,outside,same,-822.631685597466,4.497260093688965
3,2,1,50,outside,same,-993.1536030161029,28.635231971740723
3,2,10,50,outside,same,-925.9988673413673,3.1578400135040283
3,2,40,50,outside,same,-910.0438601173873,1.012618064880371
3,2,1,100,outside,same,-876.3115096763479,55.61135697364807
3,2,10,100,outside,same,-856.1940381525031,5.90793514251709
3,2,40,100,outside,same,-850.8233062639745,1.7384130954742432
3,2,1,300,outside,same,-826.3920733952293,165.78368186950684
3,2,10,300,outside,same,-824.4804098335285,16.823376178741455
3,2,40,300,outside,same,-822.3035606820368,4.405508995056152
3,3,1,50,outside,same,-978.2156418765128,28.30566906929016
3,3,10,50,outside,same,-927.3772135676616,3.1028659343719482
3,3,40,50,outside,same,-891.0832058816732,1.080070972442627
3,3,1,100,outside,same,-879.8022133104921,55.57553815841675
3,3,10,100,outside,same,-863.6878870415187,5.827220916748047
3,3,40,100,outside,same,-847.6691273540171,1.6827468872070312
3,3,1,300,outside,same,-827.5127463123146,165.40558409690857
3,3,10,300,outside,same,-825.4159096337208,16.741072177886963
3,3,40,300,outside,same,-823.5541699667708,4.394005060195923
3,4,1,50,outside,same,-984.2876041278205,28.56147289276123
3,4,10,50,outside,same,-919.7576189655289,3.1704061031341553
3,4,40,50,outside,same,-893.7173698647198,0.9943351745605469
3,4,1,100,outside,same,-875.621200666649,55.701010942459106
3,4,10,100,outside,same,-855.7913451605576,5.838896036148071
3,4,40,100,outside,same,-847.2286497952648,1.7247021198272705
3,4,1,300,outside,same,-827.1952238279471,184.09532713890076
3,4,10,300,outside,same,-825.233799298948,16.846057176589966
3,4,40,300,outside,same,-823.3922361165936,4.421925067901611
3,5,1,50,outside,same,-978.3873250088145,28.640367031097412
3,5,10,50,outside,same,-942.50913807960535,3.109323024749756
3,5,40,50,outside,same,-891.4533573172613,0.9907350540161133
3,5,1,100,outside,same,-884.1554223022229,55.959747076034546
3,5,10,100,outside,same,-861.2528382638764,5.856831073760986
3,5,40,100,outside,same,-853.7129335748222,1.7024109363555908
3,5,1,300,outside,same,-828.4966178465886,165.22223496437073
3,5,10,300,outside,same,-823.0091870411205,16.728158950805664
3,5,40,300,outside,same,-824.4156604442808,4.418952941894531
4,1,1,50,outside,different,-990.6037530793258,29.147251844406128
4,1,10,50,outside,different,-926.131705998351,3.2454419136047363
4,1,40,50,outside,different,-898.9920822400686,1.019078016281128
4,1,1,100,outside,different,-882.6754039085881,57.157142877578735
4,1,10,100,outside,different,-859.8771379507984,5.991657972335815
4,1,40,100,outside,different,-846.9782251629057,1.8029088973999023
