ID,CL,VC,KA,BIOAV,auc_t1_t2,c_max,t_max,t_half,DOSE
1,0.474699,9.47291,1.8986800000000001,1,210.612,13.802900000000001,1.7776,13.8322,100
2,1.09661,21.278200000000002,0.85531,1,91.1734,5.651350000000001,3.04626,13.4496,100
3,0.594527,13.295900000000001,0.916889,1,168.104,9.99463,2.9926800000000005,15.5014,100
4,0.37172299999999997,12.1784,0.536119,1,267.326,13.7489,4.39198,22.709,100
5,0.634097,9.17989,1.7190100000000001,1,157.703,11.867600000000001,1.8140600000000002,10.0348,100
6,0.45671799999999996,9.07399,1.11152,1,218.905,13.7977,2.5734700000000004,13.7713,100
7,0.51604,11.544400000000001,0.9743800000000001,1,193.672,11.5748,2.8467300000000004,15.506400000000001,100
8,0.408027,13.596400000000001,0.7097009999999999,1,243.428,12.744900000000001,3.6676100000000003,23.0972,100
9,0.692863,14.125300000000001,1.5183200000000001,1,144.28900000000002,9.234820000000001,2.0653300000000003,14.1311,100
10,0.485311,14.962,1.14016,1,205.142,11.285,2.6463900000000002,21.369500000000002,100
11,0.327599,10.5687,1.0885500000000001,0.8,485.65000000000003,26.3369,2.766,22.361700000000003,200
12,0.514651,18.055400000000002,0.918833,0.8,308.22,16.226300000000002,3.1067700000000005,24.317600000000002,200
13,0.548518,9.302940000000001,0.803419,0.8,291.67900000000003,18.882,3.1247700000000003,11.7559,200
14,0.738366,12.8286,0.839845,0.8,216.68,13.9685,3.0475200000000005,12.043000000000001,200
15,0.5315300000000001,11.5295,1.2941600000000002,0.8,300.883,18.5975,2.34092,15.035200000000001,200
16,0.4636,9.51646,0.9474739999999999,0.8,345.023,21.1813,2.8755,14.2284,200
17,0.48085799999999995,13.657900000000001,0.8312529999999999,0.8,331.801,18.252,3.25741,19.6875,200
18,0.32390199999999997,17.6415,1.23317,0.8,471.035,23.1274,2.63999,37.752700000000004,200
19,0.40643799999999997,7.8402,0.78963,0.8,393.594,24.2436,3.2192000000000003,13.370800000000001,200
20,0.40554399999999996,9.560780000000001,1.02614,0.8,394.201,23.2638,2.77626,16.3411,200
21,0.27216799999999997,13.259500000000001,1.3539800000000002,0.6000000000000001,853.339,42.8356,2.4362,33.7688,400
22,0.46232399999999996,6.7675600000000005,0.916578,0.6000000000000001,519.11,36.3208,2.7978400000000003,10.1464,400
23,0.72892,11.331100000000001,0.889443,0.6000000000000001,329.247,22.3578,2.8759,10.775,400
24,0.354126,17.730700000000002,1.23204,0.6000000000000001,653.6850000000001,32.5467,2.6125200000000004,34.705,400
25,0.5323129999999999,11.569,0.8343229999999999,0.6000000000000001,450.653,26.812,3.1688300000000003,15.064400000000001,400
26,0.498343,14.8693,0.836398,0.6000000000000001,479.797,26.078400000000002,3.26784,20.681800000000003,400
27,0.680512,15.0486,0.9977539999999999,0.6000000000000001,352.49,21.1934,2.8053100000000004,15.328000000000001,400
28,1.2262600000000001,14.857700000000001,1.13619,0.6000000000000001,195.717,15.4373,2.3326100000000003,8.398380000000001,400
29,0.258868,5.645460000000001,0.804657,0.6000000000000001,926.669,54.879200000000004,3.2485800000000005,15.1163,400
30,0.41390000000000005,15.5518,1.3420100000000001,0.6000000000000001,573.086,30.303600000000003,2.4091400000000003,26.0442,400
31,0.47278000000000003,9.79682,0.8756069999999999,0.44,744.295,45.201100000000004,3.0410500000000003,14.3632,800
32,0.341787,11.774700000000001,0.9120800000000001,0.44,1021.77,53.9866,3.12007,23.8793,800
33,0.40299399999999996,16.2913,1.14125,0.44,859.469,44.4007,2.7130500000000004,28.0209,800
34,0.7673500000000001,18.3143,0.627522,0.44,458.29,25.774700000000003,3.8324400000000005,16.543300000000002,800
35,0.473904,10.876800000000001,0.8504269999999999,0.44,742.2470000000001,43.4773,3.12658,15.908800000000001,800
36,0.339765,6.1342,1.48361,0.44,1035.91,69.50930000000001,2.0653300000000003,12.5143,800
37,0.7026669999999999,17.3814,1.45307,0.44,500.37,29.802400000000002,2.18887,17.1459,800
38,0.414572,8.26647,1.48781,0.44,848.876,54.7181,2.1104800000000004,13.821200000000001,800
39,0.566672,8.31282,1.27035,0.44,621.163,45.094100000000005,2.2532900000000002,10.1682,800
40,0.47846299999999997,14.5938,0.9823989999999999,0.44,732.6030000000001,40.039100000000005,2.9304,21.142,800
